composition_1,composition_2,jaccard
Gal;Glc;GlcA;Man,Gal;Glc;GlcA;Man,1.0
Gal;Glc;GlcA;Man,Gal;Glc;GlcA;Man;Rha,0.8
Gal;Glc;GlcA,Gal;Glc;GlcA,1.0
Gal;Glc;GlcA;Rha,Gal;Glc;GlcA;Rha,1.0
Gal;Glc;GlcA;Rha,Gal;Galf;Glc;GlcA;Rha,0.8
Gal;Glc;GlcA;Rha,Gal;Glc;GlcA;Man;Rha,0.8
Glc;GlcA;Man,Glc;GlcA;Man,1.0
Gal;GlcA;Rha,Gal;GlcA;Rha,1.0
Glc;GlcA;Rha,Glc;GlcA;Rha,1.0
Gal;GalA;Man,Gal;GalA;Man,1.0
Gal;GlcA;Man;Rha,Gal;GlcA;Man;Rha,1.0
Gal;GlcA;Man;Rha,Gal;Glc;GlcA;Man;Rha,0.8
Gal;GlcA;Man,Gal;GlcA;Man,1.0
Gal;Galf;Glc;GlcA;Rha,Gal;Glc;GlcA;Rha,0.8
Gal;Galf;Glc;GlcA;Rha,Gal;Galf;Glc;GlcA;Rha,1.0
Fuc;Gal;Glc;GlcA,Fuc;Gal;Glc;GlcA,1.0
Fuc;Glc;GlcA,Fuc;Glc;GlcA,1.0
GalA;Glc;Rha,GalA;Glc;Rha,1.0
Gal;Glc;Rha,Gal;Glc;Rha,1.0
Gal;Man,Gal;Man,1.0
Gal;Rha,Gal;Rha,1.0
Galf;Glc;GlcA;Man,Galf;Glc;GlcA;Man,1.0
Gal;Glc;Sug,Gal;Glc;Sug,1.0
Fuc;Glc;GlcA;Man,Fuc;Glc;GlcA;Man,1.0
Fuc;Gal;GalA,Fuc;Gal;GalA,1.0
Glc;GlcA;Man;Rha,Glc;GlcA;Man;Rha,1.0
Glc;GlcA;Man;Rha,Gal;Glc;GlcA;Man;Rha,0.8
Gal;Glc;GlcA;Man;Rha,Gal;Glc;GlcA;Man,0.8
Gal;Glc;GlcA;Man;Rha,Gal;Glc;GlcA;Rha,0.8
Gal;Glc;GlcA;Man;Rha,Gal;GlcA;Man;Rha,0.8
Gal;Glc;GlcA;Man;Rha,Glc;GlcA;Man;Rha,0.8
Gal;Glc;GlcA;Man;Rha,Gal;Glc;GlcA;Man;Rha,1.0
Glc;Rha,Glc;Rha,1.0
